"objectid","scientificname","commonname","status","source","comments","len_at_maturity_tlcm","weight_to_len_eqn","fish_or_invert","synonym"
"308","Pholis laeta","crescent gunnel","native",,,"15.7cm, range 11.7-21.1cm",,"fish",
"34","Clinocottus analis","wooly sculpin","native","https://www.fishbase.se/summary/Clinocottus-analis.html",,"8cm, range 5.9-10.7cm","W=0.0193*L^3.07800","fish",
"39","Cottus asperrimus","rough Sculpin","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"7.3cm, range 5.4-9.7cm","W=0.0259*L^2.80000","fish",
"40","Ctenogobius sagittula","longtail goby","native","http://www.fishbase.org/search.php",,"12.9cm, range 9.6-17.3cm","W=0.0066*L^2.80000","fish",
"43","Cyprinella lutrensis","red shiner","invasive","http://calfish.ucdavis.edu/location/?uid=122&ds=698",,"6.5cm, range 4.9-6.9cm","W=0.0080*L^3.1320","fish",
"44","Cyprinus carpio","common carp","invasive","http://calfish.ucdavis.edu/location/?uid=44&ds=698",,"34.8cm, range 25-36cm","W=0.0370*L^2.89000","fish",
"46","Embiotoca jacksoni","black perch","native","http://www.fishbase.org/search.php",,"23.3cm, range 17.4-31.2cm","W=0.0616*L^2.86360","fish",
"48","Engraulis mordax","Californian anchovy","native","http://www.fishbase.org/search.php",,"9.6cm, range 8.7-15.7cm","W=0.0117*L^2.95000","fish",
"144","Sebastes rastrelliger","grass rockfish","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"27.7cm, range 20.7-37.1cm","W=0.0220*L^3.0","fish",
"146","Seriola lalandi","yellowtail amberjack","native","http://www.fishbase.org/search.php",,"74.3cm, range 55.4-99.5cm","W=0.0337*L^2.75000","fish",
"153","Syngnathus leptorhynchus","bay pipefish","native","http://www.fishbase.org/search.php",,"19.8cm, range 
14.8-26.6cm","W=0.0002*L^3.1200","fish",
"154","Synodus lucioceps","California lizardfish","native","http://www.fishbase.org/search.php",,"36.1cm, range 27-48.4cm","W=0.009*L^2.90700","fish",
"157","Trachurus symmetricus","Pacific jack mackerel","native","http://www.fishbase.org/search.php",,"30.9cm, range 23.1-41.4cm","W=0.0044*L^3.21200","fish",
"158","Triakis semifasciata","leopard shark","native","http://www.fishbase.org/search.php",,"109.8cm, range 100-129cm","W=0.0031*L^3.05000","fish",
"65","Hemilepidotus hemilepidotus","red Irish lord","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"29.5cm, range 22-39.6cm",,"fish",
"201","Hemigrapsus nudus","purple shore crab","native","https://inverts.wallawalla.edu/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Eucarida/Decapoda/Brachyura/Family_Grapsidae/Hemigrapsus_nudus.html",,,,"invert",
"206","Laternula gracilis",,"invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/-201",,,,"invert",
"207","Leostyletus misakiensis","misaki ballon aeolis","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/78612",,,,"invert",
"209","Limecola petalum","Atlantic macoma","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/-204",,,,"invert",
"210","Linckia columbiae","fragile star","native","https://www.sealifebase.se/summary/Linckia-columbiae.html",,,,"invert",
"212","Loxorhynchus crispatus","decorator crab","native","https://www.sealifebase.ca/summary/Loxorhynchus-crispatus.html",,,,"invert",
"224","Metacarcinus magister","dungeness crab","native","https://inverts.wallawalla.edu/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Eucarida/Decapoda/Brachyura/Family_Cancridae/Cancer_magister.html",,,,"invert",
"120","Platyrhinoidis triseriata","thornback guitarfish","native","http://www.fishbase.org/search.php",,"49.3cm, range 36.8-66cm",,"fish",
"54","Gasterosteus aculeatus","threespine stickleback","native","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"5.5cm, range 4.3-7.6cm","W=0.0068*L^3.26000","fish",
"52","Fundulus parvipinnis","California killifish","native","http://www.fishbase.org/search.php",,"7.4cm, range 5.5-10cm","W=0.0057*L^3.7","fish",
"53","Gambusia affinis","Western mosquitofish","invasive","http://calfish.ucdavis.edu/location/?uid=178&ds=698",,"4.3cm, range 3.2-5.8cm","W=0.0095*L^3.23510","fish",
"55","Genyonemus lineatus","white croaker","native","http://www.fishbase.org/search.php",,"14cm, range 13-15cm","W=0.0272*L^2.94300","fish",
"56","Gibbonsia elegans","spotted kelpfish","native","http://www.fishbase.org/search.php",,"10.6cm, range 8.6-14.2cm","W=0.0086*L^3.10400","fish",
"17","Atherinops affinis","topsmelt silverside","native","https://www.fishbase.se/summary/Atherinops-affinis.html",,"22.3cm, range 16.6-29.8cm","W=0.0400*L^2.5000","fish",
"230","Mytilus galloprovincialis","bay mussel","invasive","https://caseagrant.ucsd.edu/seafood-profiles/mediterranean-mussel",,,,"invert",
"205","Ilyanassa obsoleta","Eastern mudsnail","invasive","https://www.exoticsguide.org/",,,,"invert","Tritia obsoleta"
"226","Musculista senhousia","green bagmussel","invasive","https://www.exoticsguide.org/node/115",,,,"invert","Arcuatula senhousia"
"1","Acanthogobius flavimanus","yellowfin goby","invasive","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"24.6cm, range 18.3-32.9cm","W=0.0088*L^2.86900","fish",
"67","Heterodontus francisci","horn shark","native","http://www.fishbase.org/search.php",,"63.9cm, range 47.7-85.6cm","W=0.006*L^3.06000","fish",
"68","Heterostichus rostratus","giant kelpfish","native","http://www.fishbase.org/search.php",,"25.5cm, range 19.1-34.2cm","W=0.0022*L^3.39000","fish",
"71","Hypomesus nipponensis","wakasagi","invasive","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"6.5cm, range 6-7cm","W=0.0089*L^2.87310","fish",
"180","Centrostephanus coronatus","black urchin","native","https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=131816&inline",,,,"invert",
"181","Cerithidea californica","California horn snail","native","https://trnerr.org/wp-content/uploads/2010/12/hs_curriculum_FIELD-GUIDE1.pdf",,,,"invert",
"185","Corbicula fluminea","Asian clam","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/81387",,,,"invert",
"216","Macoma inquinata","Eastern softshell clam","invasive","https://escholarship.org/uc/item/6t96k2rn",,,,"invert",
"213","Lyrodus pedicellatus","blacktip shipworm","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/81878",,,,"invert",
"214","Lytechinus anamesus","white urchin","native","https://www.sealifebase.ca/summary/Lytechinus-anamesus.html",,,,"invert",
"217","Macoma nasuta","Bent-nose clam","native","https://trnerr.org/wp-content/uploads/2010/12/hs_curriculum_FIELD-GUIDE1.pdf",,,,"invert",
"218","Maeotias marginata","black sea jellyfish","invasive","https://watershed.ucdavis.edu/files/biblio/Suisun%20Marsh%20Clams%20Jellies%20BDSC%202016%20Final.pdf",,,,"invert",
"198","Geukensia demissa","ribbed mussel","invasive","https://www.exoticsguide.org/geukensia_demissa",,,,"invert",
"222","Melanochlamys ezoensis","Japanese aglaja","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/-653",,,,"invert",
"223","Melanoides tuberculata","red-rim melania","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/71533",,,,"invert",
"225","Munida quadrispina","squat lobster","native","https://inverts.wallawalla.edu/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Eucarida/Decapoda/Anomura/Family_Galatheidae/Munida_quadrispina.html",,,,"invert",
"227","Mya arenaria","soft shell clam","invasive","https://escholarship.org/uc/item/6t96k2rn",,,,"invert",
"228","Myosotella myosotis","mouse ear snail","invasive","https://www.exoticsguide.org/",,,,"invert",
"229","Mytilus californianus","California mussel","native","https://marine.ucsc.edu/target/target-species-mytilus.html",,,,"invert",
"78","Hypsurus caryi","rainbow surfperch","native","http://www.fishbase.org/search.php",,"18.5cm, range 13.8-22.9cm",,"fish",
"82","Ilypnus gilberti","cheekspot goby","native","http://www.fishbase.org/search.php",,"4.7cm, range 3.5-6.3cm",,"fish",
"101","Mustelus mustelus","smoothhound shark","non-native","http://www.fishbase.org/search.php","**did not see records of this fish in california/baja","72.9cm, range 54.4-97.7","W=0.0022*L^3.110000","fish",
"88","Leuresthes tenuis","California grunion","native","http://www.fishbase.org/search.php",,"11.9cm, range 9.2-16.6cm",,"fish",
"5","Alloclinus holderi","isIand kelpfish","native","https://www.fishbase.se/summary/Alloclinus-holderi.html",,"7cm, range 5.2-9.4",,"fish",
"105","Oncorhynchus keta","chum salmon","native","http://calfish.ucdavis.edu/location/?uid=32&ds=698",,"70cm, range 45.9-82.4cm",,"fish",
"117","Phanerodon furcatus","white surfperch","native","http://www.fishbase.org/search.php",,"19.6cm, range 14.6-26.2cm",,"fish",
"118","Pholis ornata","saddleback gunnel","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"18.5cm, range 13.8-24.8cm",,"fish",
"122","Pleuronichthys coenosus","C-O sole","native","http://www.fishbase.org/search.php",,"21.7cm, range 16.2-29.1cm",,"fish",
"123","Pleuronichthys ritteri","spotted turbot","native","http://www.fishbase.org/search.php",,"18.5cm, range 13.8-24.8cm",,"fish",
"231","Neobernaya spadicea","chestnut cowrie","native","http://www.marinespecies.org/aphia.php?p=taxdetails&id=580674",,,,"invert",
"319","Hippolyte californiensis","California grass shrimp","native",,,,,"invert",
"232","Neotrypaea californiensis","bay ghost shrimp","native","https://escholarship.org/uc/item/6t96k2rn",,,,"invert",
"195","Diadumene lineata","orange-striped green anemone","invasive","https://www.exoticsguide.org/diadumene_lineata",,,,"invert",
"221","Melampus olivaceus","coffee bean snail","native","https://web.csulb.edu/colleges/cnsm/depts/biology/invertebrate_reproduction/mollusca.html",,,,"invert",
"184","Clinocardium nuttallii","heart cockle","native","https://escholarship.org/uc/item/6t96k2rn",,,,"invert",
"260","Potamopyrgus antipodarum","New Zealand mud snail","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/205006",,,,"invert",
"261","Procambarus clarkii","red swamp crayfish","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/97491",,,,"invert",
"318","unknown whelk","unknown whelk","Not recorded",,,,,"invert",
"320","Penaeus californiensis","brown shrimp","Not recorded",,,,,"invert",
"296","Laevicardium substriatum","Pacific eggcockle","Not recorded",,,,,"invert",
"298","Tagelus subteres","lesser tagelus","Not recorded",,,,,"invert",
"299","Phrontis tiarula","western mud nassa","Not recorded",,,,,"invert",
"300","Upogebia macginitieorum","southern mud shrimp","Not recorded",,,,,"invert",
"284","unknown shrimp","unknown shrimp","Not recorded",,,,,"invert",
"281","juvenile crab","juvenile crab","Not recorded",,,,,"invert",
"282","juvenile goby","juvenile goby","Not recorded",,,,,"fish",
"285","unknown snail","unknown snail","Not recorded",,,,,"invert",
"283","unknown sculpin","unknown sculpin","Not recorded",,,,,"fish",
"286","unknown fish","unknown fish","Not recorded",,,,,"fish",
"288","Portunus xantusii","Xantus swimming crab","Not recorded",,,,,"invert",
"287","Callinectes arcuatus","arched swimming crab","Not recorded",,,,,"invert",
"262","Protothaca staminea","Pacific littleneck clam","native","https://inverts.wallawalla.edu/Mollusca/Bivalvia/Veneroida/Veneridae/Protothaca_staminea.html",,,,"invert","Leukoma staminea"
"295","Chione fluctifraga","Smooth venus","Not recorded",,,,,"invert","Chionista fluctifraga"
"126","Pogonichthys macrolepidotus","splittail","native","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"25.9cm, range 24.2-33.9cm",,"fish",
"131","Raja binoculata","big skate","native","http://www.fishbase.org/search.php",,"117.8cm, range 87.9-157.8cm",,"fish",
"132","Raja inornata","California skate","native","http://www.fishbase.org/search.php",,"42cm, range 42.4-59.4cm",,"fish",
"133","Rhacochilus vacca","pile perch","native","http://www.fishbase.org/search.php",,"26.1cm, range 19.4-34.9cm",,"fish",
"135","Rhinogobiops nicholsii","blackeye goby","native","http://www.fishbase.org/search.php",,"10cm, range 7.5-13.4cm",,"fish",
"136","Roncador stearnsii","spotfin croaker","native","http://www.fishbase.org/search.php",,"26.8cm, range 20-35.9cm",,"fish",
"140","Scorpaenichthys marmoratus","cabezon","native","http://www.fishbase.org/search.php",,"31.9cm, range 23.8-42.7cm",,"fish",
"12","Anchoa compressa","deep body anchovy","native","https://www.fishbase.se/summary/1686",,"9cm, range 6.7-12cm",,"fish",
"14","Apodichthys flavidus","penpoint gunnel","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"27cm, range 20.1-36.1cm",,"fish",
"15","Artedius fenestralis","padded sculpin","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"9.4cm, range 7.5-12.7cm",,"fish",
"147","Seriphus politus","queenfish","native","http://www.fishbase.org/search.php",,"10.3cm, range 10-10.5cm",,"fish",
"38","Cottus asper","prickly sculpin","native","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"18.5cm, range 13.8-24.8cm",,"fish",
"16","Artedius notospilotus","bonyhead sculpin","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"15.7cm, range 11.7-21.2cm",,"fish",
"70","Hyperprosopon argenteum","walleye surperch","native","http://www.fishbase.org/search.php",,"18.5cm, range 13.8-24.8cm",,"fish",
"312","unknown ray","unknown ray","Not recorded",,,,,"fish",
"305","unknown mussel","unknown mussel","Not recorded",,,,,"fish",
"215","Macoma balthica","Baltic macoma","invasive","https://escholarship.org/uc/item/6t96k2rn",,,,"invert","Limecola balthica"
"317","unknown kelpfish","unknown kelpfish","Not recorded",,,,,"fish",
"177","Cancer antennarius","rock crab","native","https://animaldiversity.org/accounts/Cancer_antennarius/",,,,"invert",
"179","Catriona rickettsi","Ricketts aeolis","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/78639",,,,"invert",
"186","Crangon franciscorum","bay shrimp","native","https://watershed.ucdavis.edu/files/biblio/Suisun%20Marsh%20Fish%20Report%202017%20Final%20-%20No%20Appendix%20%28low%20res%29.pdf",,,,"invert",
"199","Glebocarcinus oregonensis","pygmy rock crab","native","https://www.centralcoastbiodiversity.org/crustaceans.html",,,,"invert",
"164","Zalembius rosaceus","pink surfperch","native","http://www.fishbase.org/search.php",,"12.9cm, range 9.6-17.3cm",,"fish",
"108","Oncorhynchus tshawytscha ","Chinook salmon","native","http://www.fishbase.org/search.php",,"82.2cm, range 57.2-102.7cm",,"fish",
"142","Sebastes caurinus","copper rockfish","native","https://www.centralcoastbiodiversity.org/fish.html",,"34cm, range 31-41cm",,"fish",
"143","Sebastes melanops","black rockfish","native","https://escholarship.org/content/qt6t96k2rn/qt6t96k2rn_noSplash_c904d58fa5b15d745342dd9106ca4010.pdf?t=p30bdl",,"40.3cm, 
range 30-42cm",,"fish",
"129","Ptychocheilus grandis","Sacramento pikeminnow","native","http://calfish.ucdavis.edu/location/?uid=134&ds=698",,"72.1cm, range 53.8-96.6cm","W=0.0065*L^3.0000","fish",
"266","Strongylocentrotus franciscanus","red urchin","native","https://inverts.wallawalla.edu/Echinodermata/Class%20Echinoidea/Echinoida/Strongylocentrotidae/Strongylocentrotus_franciscanus.html",,,,"invert","Mesocentrotus franciscanus"
"272","Uca crenulata","Mexican fiddler crab","native","https://sci-hub.se/https://academic.oup.com/jcb/article/40/4/364/5843561",,,,"invert","Leptuca crenulata"
"106","Oncorhynchus kisutch","Coho salmon","native","http://www.fishbase.org/search.php",,"57.3cm, range 42.8-76.8cm",,"fish",
"265","Ruditapes philippinarum","Japanese littleneck clam (manila clam)","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/81477",,,,"invert",
"267","Strongylocentrotus purpuratus","purple urchin","native","https://inverts.wallawalla.edu/Echinodermata/Class%20Echinoidea/Echinoida/Strongylocentrotidae/Strongylocentrotus_purpuratus.html",,,,"invert",
"274","Urosalpinx cinerea","Atlantic oyster drill","invasive","https://www.exoticsguide.org/",,,,"invert",
"159","Tridentiger barbatus","shokihaze goby","invasive","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"7.3cm, range 5.4-9.7cm","W=0.006*L^3.41600","fish",
"160","Tridentiger bifasciatus","shimofuri goby","invasive","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"8.2cm, range 6.2-11cm","W=0.014*L^3.00300","fish",
"162","Umbrina roncador","yellowfin croaker","native","http://www.fishbase.org/search.php",,"18.4cm, range 13.7-24.7cm","W-0.0100*L^2.98100","fish",
"273","Upogebia pugettensis","blue mud crab","native","https://www.centralcoastbiodiversity.org/crustaceans.html",,,,"invert",
"161","Tridentiger trigonocephalus","chameleon goby","invasive","https://www.fishbase.se/summary/Tridentiger-trigonocephalus.html",,"7.6cm, range 5.8-8.2cm","W=0.0039*L^3.42000","fish",
"107","Oncorhynchus mykiss","steelhead trout","native","http://www.fishbase.org/search.php",,"65.8cm, range 49.1-88.2cm","W=0.0117*L^2.99700","fish",
"297","Tagelus affinis","NA","Not recorded",,,,,"invert",
"309","unknown surfperch","unknown surfperch","Not recorded",,,,,"fish",
"310","unknown juvenile fish","unknown juvenile fish","Not recorded",,,,,"fish",
"311","unknown smelt","unknown smelt","Not recorded",,,,,"fish",
"45","Dorosoma petenense","threadfin shad","invasive","http://calfish.ucdavis.edu/location/?uid=167&ds=698",,"5.2cm, range 5-5.5cm","W=0.0148*L^2.80000","fish",
"313","unknown invertebrate","unknown invertebrate","Not recorded",,,,,"invert",
"314","unknown Cyprinidae","unknown Cyprinidae","Not recorded",,,,,"fish",
"83","Lampetra tridentata","Pacific lamprey","native","https://www.waterboards.ca.gov/waterrights/water_issues/programs/bay_delta/deltaflow/docs/exhibits/swrcb/swrcb_matern2002.pdf",,"42cm, range 31.4-56.3cm",,"fish",
"271","Tresus nuttallii","Pacific gaper","native","https://www.centralcoastbiodiversity.org/pacific-gaper-bull-tresus-nuttallii.html",,,,"invert",
"246","Pandalus platyceros","spot prawn","native","https://www.centralcoastbiodiversity.org/crustaceans.html",,,,"invert",
"304","Metacarcinus gracilis","Graceful Rock Crab","native","https://www.eopugetsound.org/species/metacarcinus-gracilis","Jess Turner requested this to added on December 23 2021 - asking the common name to be Graceful Rock Crab or Slender Crab. Graceful Rock Crab more closely resembles the site so that was chosen",,,"invert",
"270","Teredo bartschi","Bartsch shipworm","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/81866",,,,"invert",
"182","Chione undatella","wavy cockle","native","https://trnerr.org/wp-content/uploads/2010/12/hs_curriculum_FIELD-GUIDE1.pdf",,,,"invert",
"183","Chlamys rubida","smooth pink scallop","native","https://escholarship.org/uc/item/6t96k2rn",,,,"invert",
"301","Not recorded","Not recorded","Not recorded","Not recorded",,,,"",
"291","Acteocina inculta","NA","native","NA",,,,"invert",
"292","Assiminea californica","NA","native","NA",,,,"invert","Angustassiminea californica"
"187","Crepidula convexa","convex slippersnail","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/72624",,,,"invert",
"188","Crepidula plana","Eastern white slippernsnail","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/72627",,,,"invert",
"190","Cryptolithodes sitchensis","umbrella crab","native","https://inverts.wallawalla.edu/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Eucarida/Decapoda/Anomura/Family_Lithodidae/Cryptolithodes_sitchensis.html",,,,"invert",
"191","Cucumaria miniata","orange sea cucumber","native","https://www.centralcoastbiodiversity.org/crustaceans.html",,,,"invert",
"192","Cuthona perca","lake merritt aeolis","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/-55",,,,"invert",
"193","Dendraster excentricus","eccentric sand dollar","native","https://www.centralcoastbiodiversity.org/crustaceans.html",,,,"invert",
"194","Dermasterias imbricata","leather star","native","https://www.centralcoastbiodiversity.org/crustaceans.html",,,,"invert",
"277","Haminoea vesicula","bubble snail","native",,,,,"invert",
"196","Eriocheir sinensis","Chinese mitten crab","invasive","https://wildlife.ca.gov/Conservation/Invasives/Species/Mitten-Crab",,,,"invert",
"197","Gemma gemma","amethyst gem clam","invasive","https://invasions.si.edu/nemesis/calnemo/species_summary/81511",,,,"invert",
"278","Hesperoleucus symmetricus","California roach","native",,,,,"fish",
"202","Hemigrapsus oregonensis","yellow shore crab","native","https://inverts.wallawalla.edu/Arthropoda/Crustacea/Malacostraca/Eumalacostraca/Eucarida/Decapoda/Brachyura/Family_Grapsidae/Hemigrapsus_oregonensis.html",,,,"invert",
"289","Saldidae sp.","shore bugs","Not recorded",,,,,"invert",
"290","Cicadellidae sp.","leafhopper","Not recorded",,,,,"invert",
"279","unknown goby","unknown goby","Not recorded",,,,,"fish",
"280","Modiolus modiolus","horse mussel","Not recorded",,,,,"invert",
"293","Lirobittium quadrifilatum","NA","Not recorded",,,,,"invert",
"294","Chione californiensis","California venus","Not recorded",,,,,"invert",
"395","Pimephales promelas","Fathead minnow","non-native","https://fishbase.mnhn.fr/summary/4785",,,,"fish",
"396","Argopecten sp","scallop","Not recorded",,,,,"invert",
"397","Argopecten ventricosus","Pacific calico scallop","native","https://www.fws.gov/species/pacific-calico-scallop-argopecten-ventricosus",,,,"invert",
"398","Urobatis halleri","California round ray","native","https://www.fishbase.se/summary/urobatis-halleri",,,,"fish",
